matter 
Mg0.978Si2Sm2.022 
C40H32N8O52Si24 
ClH9IO13Sm 
Ge2La2.249Mg0.751 
Dy5Si3 
Cl2H6O13U 
F10O2Se2Xe 
H8K8O30Os2S6 
BaMg2 
In23Pt12Tb6 
H2K2O5Ru 
Dy2MgSi2 
I8P22Sn17.2Zn6.8 
CaCsH3O12Se3 
In21La4Pd10 
Cl2H10O15U 
In20Ni9.34Tb10 
CaMg2 
Ho4O12Zr3 
H17I3Nd2O22 
In21Nd4Pd10 
CuLiO 
O12Yb4Zr3 
Lu4O12Zr3 
Cl2H18I2O26Pr2 
MgPd2Tb2 
ILiO4 
H7IO10S 
EuMg2 
H11O9PV 
CsCuO 
Mg0.89Nd2Pd2.11 
Mg2Yb 
H12K4Nd4.5O183P4W34 
Ge2InNd2 
CoIn5Yb 
C2H7K7.5LaO83P2W17 
H3NdO12Se3 
Dy2In16Pt7 
In13Pd6Yb2 
H17I3O22Sm2 
H3O12Se3Sm 
ClGdH9IO13 
H4MnO5Se 
EuMgPd 
Fe11.21Ga0.27Yb1.26 
O12Sc4Zr3 
MgPdYb 
Cl2H14O17U 
Ba5N4.7Nb 
Ca3In4Ni8 
AsF11OTeXe 
Cl12H8N18Nb6O4Sr2 
In21Pd10Pr4 
H6ILiO7 
In4PtYb 
O12Tm4Zr3 
In5RhYb 
CuORb 
Ce2Ge2In 
Dy0.7Sc0.3Si2 
Ce2Ge2Mg 
Ge2InPr2 
Co30Sc6Si19 
H17I3O22Pr2 
MgPrRh 
K2O2.5 
Br8P22Sn16.8Zn7.2 
F10O2Te2Xe 
Cu7In6Sr 
CEuN2 
LaMgRh 
Ca2Cl12H8N18Nb6O4 
AsF11OSeXe 
CaH4O9Se2 
Fe17.426Yb1.787 
Dy10In20Ni9.32 
CuKO 
Ce4In21Pd10 
H7Na5O18Se4 
Fe4Sc1.2Si9.86 
BaH6O5Pd 
GaNa5O4 
CeMg0.74Rh1.26 
Ge2MgPr2 
In21Pd10Sm4 
ScSiSm 
Er4O12Zr3 
O2Si 
I6.52P5.6Si40.4 
H10Nd2O17Se3 
H6O5SrZn 
Mg0.886NdRh1.114 
CrNdO3 
CuNaO 
I8P20.83Sn20.03Zn3.96 
Al1.38Ba5O11Ru1.62 
C0.98Fe8.3Ga4.7La 
Ba4F17Nd3 
BCoH6NaO11P2 
MoO6Y2 
Ba3Co1.8Fe24.2O41 
Ca0.1La0.9Mg0.45O3Ti0.55 
Al1.293Ba5Cu0.085O11Ru1.622 
Ca0.3La0.7Mg0.35O3Ti0.65 
Na0.728Tl 
Mn2N1.08 
C0.75Co5Fe12Sm2 
O12Rb2TeW3 
MnO6.891Sr3Ti 
Al2Ca0.959H3.64O13.82Si4 
Dy2O12W3 
Ba3.86Ca2.31Nb2O11.11 
Br7In4 
Fe2.45Li0.45O4Zn0.1 
Ga0.93Mn3.07N 
C6H6.984DyFeKN6O3.492 
Ba2.1FN 
Li6.87Nb2.34O21Ti5.78 
Ba4Cu2O9Sm2 
Fe0.6O3Sn0.4Sr 
Al3LiN14O2Si9 
H4O10Pu2Si 
K2O12TeW3 
MoO6Yb2 
Fe2.2Li0.2O4Zn0.6 
Ba3Co1.6Fe24.4O41 
Mn2O6.11Sr3 
F5H3NaO1.5RbSb 
O2.9Pb0.998Ti0.964 
Fe2.15Li0.15O4Zn0.7 
C6H20Cl4HgN2 
Ba3Co2Fe24O41 
Er2O7Ru2 
O2.943Pb0.992Ti0.984 
Fe0.15Ge2Mn1.85Nd 
Fe0.9O3Sn0.1Sr 
O10.188Sr6Ta2 
CV2 
Dy2MoO6 
O9P3Y 
Na0.841Tl 
C5H22ClN10NpO12 
Cl3NdO12 
MoO2 
Ba3.81Ca2.29H3.48Nb2O12.74 
Ba0.5Ce0.475O2.975Sr0.5Yb0.05Zr0.475 
GaMnO5Sr2 
Na0.855Nd0.709O12Re3 
Ca0.9La0.1Mg0.05O3Ti0.95 
C6H7.08FeHoKN6O3.54 
S1.5Sm0.56Sr0.94 
GaMnO5.52Sr2 
Ni2Si3U 
Mn2O6.195Sr3 
C1.02Fe10.052Ga2.948La 
Na0.813Tl 
MoO6Tm2 
Ca0.7La0.3Mg0.15O3Ti0.85 
Ag2Ge3H2K4OS9 
Mn4Si7 
C0.95Fe9.3Ga3.7La 
F1.22GaMnO4.78Sr2 
Cl3H8O4Tl 
Fe2.35Li0.35O4Zn0.3 
Ho2MoO6 
Na0.754Tl 
Na0.714Tl 
O15SrV6 
O2.802Pb0.983Ti 
Al67.24Fe28Ti24 
C0.93Fe10.04Ga2.96La 
C4H16ClN8NpO6 
O2.934Pb0.992Ti 
Bi18O42P4Pb5 
Fe0.7O3Sn0.3Sr 
Cl7H15N5OsRh 
C1.04Fe7.21Ga5.79La 
C6H6.96FeKN6O3.48Tb 
CoH1.284Na0.358O2.642 
GdO12W3Y 
Al2Ba3Cu2F16 
Bi2.56Na0.44Nb2O9 
Er2MoO6 
Ca0.5La0.5Mg0.25O3Ti0.75 
AlO4P 
Br3H8O4Tl 
C6H7.04FeGdKN6O3.52 
H1.2O10.64Sr6Ta2 
O2.604Pb0.963Ti 
